"code_1","code_2","code_3","code_4","code_5","code_6","code_7","code_8","prompt_1","prompt_2","prompt_3","prompt_4","prompt_5","prompt_6","prompt_7","prompt_8","list"
"verb_positive;property_positive","verb_negative;property_positive","verb_positive;property_negative","verb_negative;property_negative","verb_positive;property_negative","verb_positive;property_positive","verb_negative;property_negative","verb_negative;property_positive","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?",1
"verb_positive;property_positive","verb_positive;property_negative","verb_negative;property_positive","verb_negative;property_negative","verb_negative;property_positive","verb_negative;property_negative","verb_positive;property_positive","verb_positive;property_negative","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?",2
"verb_positive;property_positive","verb_positive;property_positive","verb_negative;property_positive","verb_negative;property_negative","verb_negative;property_negative","verb_negative;property_positive","verb_positive;property_negative","verb_positive;property_negative","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?",3
"verb_negative;property_negative","verb_negative;property_negative","verb_negative;property_positive","verb_positive;property_negative","verb_positive;property_positive","verb_positive;property_positive","verb_negative;property_positive","verb_positive;property_negative","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?",4
"verb_negative;property_positive","verb_positive;property_negative","verb_negative;property_negative","verb_positive;property_positive","verb_negative;property_negative","verb_positive;property_negative","verb_positive;property_positive","verb_negative;property_positive","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?",5
"verb_positive;property_negative","verb_positive;property_negative","verb_positive;property_positive","verb_negative;property_negative","verb_negative;property_negative","verb_positive;property_positive","verb_negative;property_positive","verb_negative;property_positive","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?",6
"verb_negative;property_negative","verb_negative;property_positive","verb_positive;property_positive","verb_negative;property_positive","verb_positive;property_negative","verb_negative;property_negative","verb_positive;property_positive","verb_positive;property_negative","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?",7
"verb_negative;property_positive","verb_positive;property_positive","verb_negative;property_positive","verb_negative;property_negative","verb_positive;property_negative","verb_negative;property_negative","verb_positive;property_positive","verb_positive;property_negative","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?",8
"verb_positive;property_negative","verb_negative;property_positive","verb_positive;property_negative","verb_negative;property_positive","verb_positive;property_positive","verb_negative;property_negative","verb_positive;property_positive","verb_negative;property_negative","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?",9
"verb_positive;property_positive","verb_negative;property_negative","verb_positive;property_negative","verb_positive;property_positive","verb_positive;property_negative","verb_negative;property_positive","verb_negative;property_negative","verb_negative;property_positive","Stephanie tells you: 'It doesn't inspire me that Ashley is talented'. How likely is someone being talented to inspire people?","Melissa tells you: 'It doesn't worry me that Amanda is rude'. How likely is someone being rude to worry people?","Amanda tells you: 'It doesn't comfort me that Jennifer is stupid'. How likely is someone being stupid to comfort people?","Jessica tells you: 'It doesn't delight me that Ashley is playful'. How likely is someone being playful to delight people?","Stephanie tells you: 'It doesn't amuse me that Ashley is greedy'. How likely is someone being greedy to amuse people?","Nicole tells you: 'It doesn't bother me that Ashley is smart'. How likely is someone being smart to bother people?","Jennifer tells you: 'It doesn't annoy me that Melissa is jealous'. How likely is someone being jealous to annoy people?","Nicole tells you: 'It doesn't upset me that Jessica is courageous'. How likely is someone being courageous to upset people?",10
