"code_1","code_2","code_3","code_4","code_5","code_6","code_7","code_8","prompt_1","prompt_2","prompt_3","prompt_4","prompt_5","prompt_6","prompt_7","prompt_8","list"
"verb_positive;property_positive","verb_positive;property_negative","verb_negative;property_negative","verb_positive;property_negative","verb_negative;property_negative","verb_negative;property_positive","verb_negative;property_positive","verb_positive;property_positive","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?",1
"verb_negative;property_positive","verb_negative;property_negative","verb_negative;property_positive","verb_negative;property_negative","verb_positive;property_negative","verb_positive;property_positive","verb_positive;property_negative","verb_positive;property_positive","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?",2
"verb_positive;property_negative","verb_negative;property_positive","verb_positive;property_negative","verb_negative;property_positive","verb_negative;property_negative","verb_negative;property_negative","verb_positive;property_positive","verb_positive;property_positive","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?",3
"verb_positive;property_negative","verb_negative;property_positive","verb_negative;property_negative","verb_negative;property_negative","verb_negative;property_positive","verb_positive;property_negative","verb_positive;property_positive","verb_positive;property_positive","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?",4
"verb_positive;property_negative","verb_positive;property_negative","verb_positive;property_positive","verb_negative;property_negative","verb_negative;property_positive","verb_negative;property_positive","verb_negative;property_negative","verb_positive;property_positive","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?",5
"verb_positive;property_positive","verb_negative;property_negative","verb_positive;property_negative","verb_positive;property_positive","verb_positive;property_negative","verb_negative;property_negative","verb_negative;property_positive","verb_negative;property_positive","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?",6
"verb_positive;property_positive","verb_negative;property_positive","verb_negative;property_positive","verb_negative;property_negative","verb_positive;property_positive","verb_negative;property_negative","verb_positive;property_negative","verb_positive;property_negative","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?",7
"verb_negative;property_negative","verb_positive;property_positive","verb_negative;property_negative","verb_positive;property_positive","verb_negative;property_positive","verb_positive;property_negative","verb_positive;property_negative","verb_negative;property_positive","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?",8
"verb_positive;property_negative","verb_positive;property_negative","verb_negative;property_positive","verb_negative;property_negative","verb_positive;property_positive","verb_positive;property_positive","verb_negative;property_positive","verb_negative;property_negative","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?",9
"verb_positive;property_negative","verb_negative;property_negative","verb_negative;property_negative","verb_positive;property_positive","verb_negative;property_positive","verb_negative;property_positive","verb_positive;property_negative","verb_positive;property_positive","Stephanie tells you: ""It comforts me that Nicole is stupid"". 
 How likely is someone being stupid to comfort people?","Jennifer tells you: ""It annoys me that Ashley is jealous"". 
 How likely is someone being jealous to annoy people?","Jennifer tells you: ""It worries me that Stephanie is rude"". 
 How likely is someone being rude to worry people?","Nicole tells you: ""It delights me that Jessica is talented"". 
 How likely is someone being talented to delight people?","Ashley tells you: ""It upsets me that Stephanie is smart"". 
 How likely is someone being smart to upset people?","Stephanie tells you: ""It bothers me that Nicole is courageous"". 
 How likely is someone being courageous to bother people?","Ashley tells you: ""It amuses me that Nicole is greedy"". 
 How likely is someone being greedy to amuse people?","Jessica tells you: ""It inspires me that Sarah is playful"". 
 How likely is someone being playful to inspire people?",10
